assessmentIdentifier,objectiveAssessment__identificationCode,reportingMethod__codeValue,col,raw_col,min_year,max_year
WIForward_SS,,Scale Score,scaleScore,Scale_Score_SS,,
WIForward_SS,,Std Error Scale Score,stdErrorScaleScore,Std_Error_Scale_Score_SS,,
WIForward_SS,,WI Percentile,percentile,WI_Percentile_SS,,
WIForward_SS,,Performance Level,performanceLevel,SS_Performance_Level,2024,
WIForward_SS,,Proficiency,performanceLevel,SS_Proficiency,,2023
WIForward_SS,,Total Points Earned,Total_Points_Earned,Total_Points_Earned_SS,,
WIForward_SS,,Points Earned MC,Points_Earned_MC,Points_Earned_SS_MC,,
WIForward_SS,,Points Earned Autoscored,Points_Earned_Autoscored,Points_Earned_SS_Autoscored,,
WIForward_SS,,SS S1 Attempted Status,SS_S1_Attempted_Status,SS_S1_Attempted_Status,2024,
WIForward_SS,,SS S2 Attempted Status,SS_S2_Attempted_Status,SS_S2_Attempted_Status,2024,
WIForward_SS,SS_BH,Progress Score,Progress_Score_SS_BH,,2024,
WIForward_SS,SS_BH,Progress Level,Progress_Level_SS_BH,,2024,
WIForward_SS,SS_BH,Points Earned,Points_Earned_SS_BH,,2024,
WIForward_SS,SS_Econ,Progress Score,Progress_Score_SS_Econ,,2024,
WIForward_SS,SS_Econ,Progress Level,Progress_Level_SS_Econ,,2024,
WIForward_SS,SS_Econ,Points Earned,Points_Earned_SS_Econ,,2024,
WIForward_SS,SS_Geog,Progress Score,Progress_Score_SS_Geog,,2024,
WIForward_SS,SS_Geog,Progress Level,Progress_Level_SS_Geog,,2024,
WIForward_SS,SS_Geog,Points Earned,Points_Earned_SS_Geog,,2024,
WIForward_SS,SS_Hist,Progress Score,Progress_Score_SS_Hist,,2024,
WIForward_SS,SS_Hist,Progress Level,Progress_Level_SS_Hist,,2024,
WIForward_SS,SS_Hist,Points Earned,Points_Earned_SS_Hist,,2024,
WIForward_SS,SS_PS,Progress Score,Progress_Score_SS_PS,,2024,
WIForward_SS,SS_PS,Progress Level,Progress_Level_SS_PS,,2024,
WIForward_SS,SS_PS,Points Earned,Points_Earned_SS_PS,,2024,
WIForward_ELA,,CESA,CESA,,,
WIForward_ELA,,School_Type,School_Type,,,
WIForward_ELA,,District_Name,District_Name,,,
WIForward_ELA,,District_Agency_Type,District_Agency_Type,,,
WIForward_ELA,,District_Agency_Key,District_Agency_Key,,,
WIForward_ELA,,School_Name,School_Name,,,
WIForward_ELA,,School_Number,School_Number,,,
WIForward_ELA,,School_Agency_Type,School_Agency_Type,,,
WIForward_ELA,,School_Agency_Key,School_Agency_Key,,,
WIForward_ELA,,District_of_Residence_Number,District_of_Residence_Number,,,
WIForward_ELA,,District_of_Residence_Agency_Type,District_of_Residence_Agency_Type,,,
WIForward_ELA,,School_of_Residence_Number,School_of_Residence_Number,,,
WIForward_ELA,,School_of_Residence_Agency_Type,School_of_Residence_Agency_Type,,,
WIForward_ELA,,Local_Student_ID,Local_Student_ID,,,
WIForward_ELA,,Date_of_Birth,Date_of_Birth,,,
WIForward_ELA,,Gender,Gender,,,
WIForward_ELA,,Ethnicity,Ethnicity,,,
WIForward_ELA,,Enrolled_in_School_FAY,Enrolled_in_School_FAY,,,
WIForward_ELA,,Enrolled_in_District_FAY,Enrolled_in_District_FAY,,,
WIForward_ELA,,Out_of_District_IEP_Placement,Out_of_District_IEP_Placement,,,
WIForward_ELA,,EL_Student_New_to_Country,EL_Student_New_to_Country,,,
WIForward_ELA,,Disability_Status,Disability_Status,,,
WIForward_ELA,,Primary_Disability_Code,Primary_Disability_Code,,,
WIForward_ELA,,English_Proficiency_Status,English_Proficiency_Status,,,
WIForward_ELA,,English_Proficiency,English_Proficiency,,,
WIForward_ELA,,Economic_Status,Economic_Status,,,
WIForward_ELA,,Migrant_Status,Migrant_Status,,,
WIForward_ELA,,Optional_Field_PreID,Optional_Field_PreID,,,
